N,P,K,ph,Soiltype,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,latitude,longitude,label
32,13,42,5.786058032000001,Loamy,23.50128217,92.97527546,106.61905,0.7461,0.8528,1.1308,1.036,17.9391,25.2322,30.0699,24.6857,14.4139,20.5319,24.1946,19.9855,9.3498,22.6826,56.461,20.2205,437.0,0.244082,188.837321,17.18895,76.954161,pomegranate
18,9,40,5.627186257000001,Loamy,19.44623085,89.02127045,106.1606833,0.7046,0.8012,1.0638,0.965,14.3808,19.673,25.2667,20.1375,11.4638,15.7838,20.4051,16.2482,14.0747,21.3004,53.2248,21.6622,390.0,0.066373,74.059047,15.664989,77.032816,pomegranate
20,27,41,5.700088663,Sandy loam,20.51343484,92.51675903,110.5764023,0.7488,0.8298,1.1172,1.0189,16.691,20.9135,27.2467,21.7495,13.614,16.8108,22.1183,17.6468,9.4382,25.2509,57.0679,23.4399,460.0,0.08015,8.591014,15.321224,77.407995,pomegranate
39,25,36,5.567805185,Sandy loam,18.90223032,94.99897537,107.6103211,0.7458,0.8438,1.14,1.0395,14.6124,20.4662,25.6496,19.9089,11.7771,16.6858,20.924,16.1284,12.207,23.1659,52.1692,20.2886,513.0,0.040197,296.251361,19.643485,74.682049,pomegranate
20,7,45,6.077886012,Loamy,18.90592319,89.24126808,112.4750941,0.6979,0.8029,1.0719,0.9893,15.105,19.8609,25.7516,19.3635,12.2691,16.0797,21.0252,15.5823,8.3597,23.1821,57.4339,21.4422,465.0,0.036052,352.87403,17.502692,75.750858,pomegranate
11,10,45,6.397995609,Loamy,22.63045168,88.45577158,109.0357597,0.7066,0.7733,1.063,0.9674,17.8572,23.107,29.9367,23.9807,14.4626,18.5809,24.2791,19.4546,12.9695,21.3803,56.9823,17.1563,535.0,0.645488,82.032955,19.352649,77.513902,pomegranate
40,18,43,5.767372539,Sandy loam,19.38603815,86.79058496,109.91309840000002,0.7046,0.7853,1.0579,0.954,15.1478,20.3695,25.7558,19.7908,12.2399,16.4923,20.9093,15.9136,10.2072,19.952,54.6109,17.5339,596.0,0.962872,306.22808,15.650659,77.259857,pomegranate
3,26,39,7.079973241,Black,24.38318965,91.19431555,103.6012114,0.7341,0.8248,1.0791,1.0061,19.3702,25.5054,31.8247,25.4497,15.7127,20.6287,25.7289,20.5731,13.7114,18.9977,51.411,19.473,541.0,0.300488,124.958947,16.280086,75.60311,pomegranate
9,16,36,5.893332377999999,Black,23.77989026,92.93386903,106.977723,0.7401,0.8368,1.1117,1.0187,18.7683,25.0091,31.1508,24.6116,15.2014,20.2531,25.2058,19.8556,10.0348,22.9179,53.1272,25.4579,393.0,0.414331,25.941097,21.73617,75.087332,pomegranate
30,20,38,7.058222596,Black,22.59890174,93.16343942,110.0932899,0.7425,0.8352,1.1283,1.0021,17.3403,23.6053,28.806,23.1074,13.9505,19.0855,23.1562,18.5876,10.2344,22.5771,56.3118,20.0645,604.0,0.116654,298.666909,17.700008,77.402686,pomegranate
40,9,41,5.78270695,Sandy loam,24.37766782,85.4017118,106.128338,0.709,0.7617,1.0117,0.9284,19.0761,24.6928,32.1225,25.2377,15.4194,19.8172,26.0281,20.3622,11.6993,21.1192,52.7942,21.7449,356.0,0.121472,348.139784,20.599294,76.595386,pomegranate
40,30,35,6.269663962999999,Sandy loam,20.89273273,91.07776977,104.4407083,0.737,0.8268,1.0868,1.0263,16.84,21.6887,27.4887,21.9743,13.7061,17.5101,22.2655,17.7958,11.5928,21.5063,51.2266,21.4906,453.0,0.102318,188.198488,20.578367,74.452226,pomegranate
32,25,35,5.892913826,Sandy loam,18.09903225,85.70786282,107.0050976,0.6773,0.7674,1.0311,0.9364,13.9474,20.0926,23.567,18.718,11.2325,16.4728,19.0423,15.0982,9.717,23.2148,55.086,24.7188,557.0,0.238285,266.436657,19.873189,74.234586,pomegranate
33,23,45,7.116538883,Black,20.00218987,85.83618191,112.337046,0.6946,0.7927,1.0155,0.9569,16.244,21.2321,26.5415,20.4019,13.2437,17.2316,21.541,16.4015,12.8083,22.5552,54.5186,17.3623,218.0,0.203017,281.062393,21.597269,74.637582,pomegranate
4,14,41,6.430163481,Loamy,19.85139326,89.80732335,102.8186358,0.6885,0.8221,1.0883,0.9759,15.4318,20.5985,25.6384,20.8627,12.4541,16.6282,20.6755,16.8925,8.6193,21.357,51.445,18.5837,621.0,0.174851,239.520608,17.912194,76.363001,pomegranate
13,17,45,7.159520979,Sandy loam,21.25433607,92.65058936,106.2784673,0.7417,0.8377,1.0973,1.0125,16.3252,23.0891,28.0276,21.911,13.1371,18.8382,22.7141,17.6601,10.7836,15.8406,51.2073,18.5054,309.0,0.216506,261.507606,20.615853,76.713573,pomegranate
39,24,39,6.431265737,Sandy loam,23.65374106,93.32657504,109.8076178,0.7325,0.8266,1.1169,1.0274,18.7291,25.9549,29.7838,25.1967,15.181,21.2242,23.8704,20.466,11.6941,21.3925,56.1892,23.7401,554.0,0.082172,82.047256,16.268824,75.519003,pomegranate
8,28,37,6.082571701,Sandy loam,23.88404783,86.20613842,108.3121789,0.7068,0.7718,1.0227,0.9473,20.0817,24.3527,31.5735,25.4973,16.4991,19.5759,25.6025,20.7204,9.7862,19.7685,54.0104,19.7698,608.0,0.759274,331.036073,17.510192,74.115265,pomegranate
91,94,46,6.149934034,Clay loam,29.36792366,76.24900101,92.82840911,0.5912,0.6864,0.9146,0.8326,23.7146,30.8155,38.8506,30.6325,19.3095,24.9419,31.5086,24.7589,8.6273,18.9267,45.6781,20.1408,592.0,1.785907,221.152846,13.475713,79.354146,banana
105,95,50,5.849076099,Loamy,27.33368994,83.67675197,101.0494791,0.6779,0.7593,1.0062,0.9259,21.202,28.4397,36.1946,28.9647,17.102,22.973,29.3611,23.498,10.1429,18.755,49.3321,22.5249,461.0,0.123062,8.03255,15.787557,76.522621,banana
108,92,53,6.276800323,Clay loam,27.40053601,82.96221306,104.9378,0.6686,0.7326,0.9838,0.9256,22.061,29.9949,36.1788,28.7312,17.9509,24.5147,29.3287,23.2511,8.2386,22.8861,52.2203,19.5609,443.0,0.133853,86.673612,15.363184,76.45175,banana
86,76,54,5.926824754,Clay loam,29.3159075,80.11585705,90.10978128,0.6176,0.7243,0.9695,0.8878,22.9553,30.2465,38.4281,30.9074,18.5579,24.3833,31.0992,25.0443,12.4805,17.8191,48.3974,18.6797,45.0,5.740577,326.279666,11.290274,76.183889,banana
80,77,49,5.519088423,Clay loam,26.05433004,79.39654531,113.2297373,0.6305,0.7254,0.9552,0.8732,21.0266,27.9123,34.1121,28.1545,17.1184,22.7014,27.5986,22.9436,13.4738,21.3257,53.8732,23.2138,1313.0,8.137106,267.057975,10.092903,77.256952,banana
93,94,53,6.079178787999999,Alluvial,25.86632408,84.42379269,114.5357503,0.6621,0.7665,1.0097,0.9357,20.0812,27.2692,34.1229,27.9011,16.2013,22.096,27.6563,22.7278,10.2455,23.2307,58.2604,24.5262,549.0,0.043544,315.97576,13.636545,78.711716,banana
90,92,55,6.13465588,Clay loam,27.00932084,80.18546798,97.32531705,0.6265,0.7216,0.9695,0.874,21.4168,28.5872,36.2879,28.4071,17.3655,23.1854,29.5356,23.0053,7.6432,20.3447,51.1804,19.3493,509.0,0.556721,81.775443,14.14023,78.306596,banana
108,89,53,5.808497603999999,Loamy,29.55054817,78.06762846,99.34482238,0.6401,0.715,0.9237,0.8654,22.8687,31.2883,39.0792,30.8722,18.4361,25.3782,31.6915,24.9621,11.5153,15.8289,49.6579,20.3253,23.0,0.039103,106.980856,12.520098,79.911582,banana
108,88,55,5.891458107,Loamy,26.28845991,83.390039,113.8729798,0.6611,0.7342,1.0118,0.9159,21.3747,27.684,34.4287,27.0191,17.4315,22.4263,27.8565,21.7614,12.8055,20.9374,57.8639,26.8102,829.0,0.003518,72.466849,13.358755,77.353203,banana
105,77,52,5.816622478999999,Loamy,29.16226551,76.16151562,100.0075679,0.606,0.6809,0.9211,0.8302,23.0209,31.0021,38.111,30.8614,18.6466,25.1696,30.8205,25.0289,10.9842,21.0067,50.3432,18.3589,222.0,0.0,146.469939,12.184825,78.802321,banana
118,88,52,5.8431631610000005,Loamy,28.65003945,82.68752542,98.75084366,0.6607,0.7532,1.0001,0.9292,23.0347,29.9293,37.5354,29.8207,18.7371,24.1993,30.3729,24.0907,10.4452,18.5345,51.7214,20.3767,0.0,0.0,261.322149,8.761937,78.646853,banana
101,87,54,6.376756632999999,Clay loam,29.07311132,76.50045221,100.1692639,0.6157,0.6881,0.9279,0.8452,22.3736,30.7438,37.7027,29.9724,18.0126,24.9292,30.4344,24.1578,9.2509,20.1824,47.7724,23.2395,330.0,3.121369,310.049351,9.988616,77.382998,banana
95,75,50,5.623615687000001,Loamy,28.08166093,75.26429821,118.2761894,0.6091,0.6743,0.9005,0.8349,21.938,29.8931,35.7534,28.9237,17.7258,24.2768,28.733,23.3073,13.9743,21.4731,61.4943,21.7549,920.0,1.098238,259.745286,13.410365,77.539506,banana
106,85,53,5.91505509,Loamy,27.1994597,78.80860679999998,99.72430835,0.6375,0.7051,0.9463,0.86,21.4726,28.6447,35.8169,28.8906,17.3927,23.2048,29.0171,23.4507,8.6534,21.3552,52.9789,19.7731,326.0,0.517262,96.054164,14.712264,78.233377,banana
86,95,49,6.458714879,Clay loam,28.05484146,78.04602887,108.3957179,0.6252,0.6821,0.9333,0.8433,22.0552,29.643,35.8558,29.0218,17.847,24.032,28.8421,23.4108,15.8886,20.5935,50.2232,22.4475,633.0,0.216643,52.149859,15.902333,76.218264,banana
83,79,55,5.565028635,Clay loam,25.14748006,83.34688193,98.66679427,0.6698,0.7553,0.9959,0.9213,19.8039,25.7077,33.2107,25.9508,16.0318,20.6782,26.9238,20.9213,9.6576,23.5778,46.4773,21.8796,820.0,0.15575,116.782791,13.14719,76.627709,banana
85,95,47,6.211833161,Alluvial,25.94019018,78.3422098,119.84797,0.6347,0.6985,0.9403,0.8487,20.5583,27.4905,33.6223,28.0766,16.6673,22.3024,27.1373,22.8886,13.4002,24.3174,60.5857,24.9326,140.0,0.410421,94.84714,14.790765,79.407485,banana
109,79,45,6.490074429,Clay loam,27.66752761,79.68542782,108.66464,0.6451,0.7302,0.9562,0.8887,22.5288,29.3448,35.6207,29.6662,18.3787,23.8112,28.7038,24.1327,12.5324,19.558,50.01,20.8662,558.0,0.36602,77.487462,14.955325,76.299461,banana
100,76,45,5.590236025,Clay loam,25.56703012,75.94067692,102.7867717,0.6068,0.689,0.9157,0.8218,19.9487,26.909,34.0283,27.5129,16.1136,21.7956,27.6366,22.3995,10.3827,20.2121,50.1795,20.373,696.0,0.043716,315.085337,11.933184,76.963567,banana
117,86,48,6.225225238999999,Alluvial,28.6956201,82.54195839,116.1616839,0.6531,0.7343,0.985,0.918,23.0813,30.4021,37.5847,29.7488,18.7769,24.6629,30.4108,24.0097,12.2353,23.0874,62.6842,22.4467,641.0,0.064613,76.807438,15.76116,76.201403,banana
114,94,53,6.190757458999999,Alluvial,26.33544853,76.8532006,118.6858263,0.6159,0.7073,0.9156,0.8546,20.1958,28.1125,34.6905,27.5191,16.2455,22.8454,28.1067,22.252,13.1668,29.6277,60.2487,21.1428,72.0,0.0775,338.630928,9.781652,78.573269,banana
110,78,50,5.915568968,Clay loam,25.93730186,78.89864446,98.21747528,0.6397,0.7182,0.9539,0.879,21.6098,26.8797,33.4066,27.1895,17.7192,21.6922,26.9223,22.002,6.4537,21.9962,45.2141,18.5405,419.0,0.141544,177.902758,11.226216,76.94,banana
94,70,48,6.195152442,Alluvial,25.13686519,84.88394407,91.46442491,0.6805,0.7551,1.0203,0.9357,19.0418,26.7085,31.9816,25.7995,15.2713,21.6811,25.6974,20.7721,7.937,16.7476,45.4104,20.347,82.0,0.032434,258.100978,11.672757,79.205045,banana
80,71,47,6.156373499,Loamy,27.50527651,80.79783998,105.0776992,0.6491,0.7477,0.9773,0.8912,21.5526,28.2784,36.4287,29.1839,17.4268,22.7773,29.5524,23.6829,11.0544,20.0738,52.2597,18.1803,81.0,0.159428,144.347789,11.584789,79.426357,banana
114,79,51,6.313197204,Clay loam,26.21009246,82.34429458,112.0700033,0.6526,0.7524,1.0008,0.898,20.4743,26.8686,34.8897,27.2025,16.5428,21.6266,28.3372,21.9605,10.2835,25.618,55.3457,23.7021,1021.0,0.07686,51.181752,11.576545,76.474827,banana
88,78,45,6.324270089,Alluvial,29.10403455,79.19588629,92.07835761,0.6328,0.7044,0.9608,0.8875,23.033,30.7617,38.54,31.5077,18.6674,24.9409,31.264,25.6869,11.7981,17.0539,47.1425,19.2977,401.0,0.940457,175.61881,11.978987,78.613492,banana
112,73,48,5.7074889870000005,Alluvial,29.244063800000006,77.32017166,90.66727868,0.6055,0.7141,0.9254,0.8307,22.6104,31.0829,38.9672,31.1179,18.2238,25.2341,31.6562,25.2691,8.292,18.9683,46.5792,17.3066,97.0,0.121924,283.564777,8.821147,77.649354,banana
117,76,47,6.119216009,Alluvial,25.56202173,77.38229006,93.10247183,0.6218,0.6928,0.93,0.8276,20.6049,25.6251,33.1082,27.1755,16.7706,20.5127,26.7177,22.0631,6.9172,18.4773,47.564,15.9919,894.0,0.104586,128.700578,12.457048,76.000679,banana
111,87,48,5.571401169,Alluvial,26.3985515,81.36028902,98.16752001,0.6566,0.7284,0.984,0.897,20.6365,27.9544,34.2839,28.1435,16.6768,22.6747,27.6843,22.8638,10.7952,18.9782,47.2428,19.5434,0.0,0.0,81.287176,8.727164,78.416813,banana
89,83,47,5.63127166,Clay loam,28.09577643,77.79586769,109.5408614,0.6088,0.6765,0.9392,0.8502,21.7971,29.3356,37.3379,29.524,17.5827,23.7164,30.3139,23.9049,9.6588,21.5135,53.778,22.2057,888.0,0.219098,306.761879,12.952529,77.218392,banana
93,91,47,6.101241579,Alluvial,27.84767901,83.31110751,117.2878912,0.6762,0.7573,1.0056,0.9194,22.7001,28.9936,36.4239,29.575,18.5229,23.4241,29.462,24.0055,12.7704,20.0838,60.1248,23.0661,712.0,0.182863,18.14029,12.066702,76.827405,banana
92,81,52,6.438137278999998,Alluvial,27.39341554,81.4654833,94.31102057,0.6422,0.7349,0.9853,0.8893,21.8413,28.794,36.1814,29.9503,17.7323,23.3153,29.3331,24.4716,7.7417,15.211,47.0009,18.14,65.0,0.096684,167.694298,13.371795,79.801421,banana
105,74,45,6.098369122,Alluvial,25.14517635,81.38204104,119.218154,0.6503,0.727,0.9986,0.8882,19.6043,25.699,33.6173,26.0147,15.8325,20.67,27.331,20.9857,11.2644,23.6484,62.28,23.525,14.0,0.041499,355.146138,10.90674,76.217101,banana
102,71,48,5.695267822000001,Loamy,28.65456263,79.28693687,102.4633775,0.6326,0.7212,0.9583,0.8808,23.4577,29.8367,37.509,30.1392,19.1596,24.1058,30.3454,24.4083,7.5913,21.8726,46.6853,18.8269,166.0,0.129252,189.985269,9.783345,77.81784,banana
94,91,51,5.6180944460000015,Loamy,29.16093424,76.67484233,109.575944,0.5947,0.6925,0.9186,0.8563,22.5461,30.2589,39.0298,30.7055,18.1719,24.4267,31.7395,24.8733,14.1374,23.123,53.7091,21.5748,422.0,0.154935,261.126827,12.481207,78.479032,banana
116,71,47,6.435785799,Clay loam,27.57278064,82.0638878,91.34276507,0.6411,0.7354,0.9856,0.9162,21.2361,29.3836,35.8313,28.8149,17.1002,23.8691,28.9381,23.3003,6.6917,17.0535,45.1925,21.3446,756.0,0.940457,355.621935,11.785069,78.628669,banana
117,79,49,6.176644228,Clay loam,25.40909896,82.36208097,112.9794804,0.6622,0.7444,0.9951,0.8997,19.2047,26.5554,33.4647,26.3561,15.3933,21.4736,27.1124,21.2743,9.7442,22.1705,57.0789,19.7165,738.0,0.549861,286.052769,13.727308,76.456093,banana
119,72,55,6.220643671,Loamy,25.99069521,83.33983116,112.0777152,0.6863,0.7533,1.0142,0.9125,20.0407,26.6935,34.015,27.0252,16.1421,21.4954,27.5173,21.8271,9.6238,22.1948,57.1371,21.4104,584.0,0.187649,124.874721,14.07456,76.886988,banana
99,73,53,5.8717022110000014,Loamy,26.29039046,81.06003778,118.6730366,0.6454,0.7142,0.9711,0.8888,21.1411,27.5808,34.0233,27.4606,17.1975,22.3227,27.4507,22.2025,8.281,28.1031,59.8529,24.5783,29.0,0.114822,268.130053,10.730857,79.319536,banana
91,84,52,6.390741836,Alluvial,29.14827211,78.71024836,117.536781,0.6374,0.7116,0.9583,0.8712,23.7174,30.0824,38.4327,30.4029,19.3451,24.2527,31.1456,24.5733,14.7107,23.8178,58.3268,19.951,391.0,0.038679,246.171261,15.715469,77.167934,banana
80,90,47,6.21084479,Alluvial,26.59743595,79.35898915,107.3944717,0.6335,0.7036,0.9658,0.88,20.8271,28.4558,35.0557,28.3954,16.8374,23.1364,28.4064,23.0759,8.8987,21.2071,53.6761,21.7258,222.0,0.0,326.471218,12.175881,78.808384,banana
101,70,48,6.012696655,Loamy,25.36059237,75.03193255,116.5531455,0.5859,0.6845,0.8888,0.8178,19.4267,26.3573,33.1935,26.1196,15.6226,21.2852,26.8533,21.0475,11.8683,24.8023,59.298,21.3518,0.0,0.0,106.999154,8.366225,76.656621,banana
108,89,53,5.908770059,Clay loam,29.12036889,80.18080728,112.3982055,0.6531,0.7064,0.9633,0.8804,22.863,30.3548,37.8303,30.9955,18.495,24.5307,30.5502,25.1714,11.2297,23.5839,55.4907,22.3618,0.0,0.0,211.085254,9.123593,78.867424,banana
100,80,52,6.049801781,Loamy,27.53911354,77.25629897,110.3262123,0.6391,0.6953,0.9215,0.8391,21.9299,28.8718,35.6701,29.2428,17.7991,23.3639,28.7853,23.7349,12.8095,21.0155,53.6188,24.7317,678.0,0.443987,175.319572,13.772473,76.427846,banana
109,91,53,6.010095852999999,Clay loam,29.66727337,83.51014178,110.2511102,0.6683,0.7543,0.9868,0.9074,23.739,30.872,38.5867,31.3128,19.2889,24.9385,31.1699,25.3794,11.0257,24.2264,56.532,20.5834,821.0,0.524112,246.001589,12.886814,76.750174,banana
82,78,46,5.738678895,Loamy,25.05802193,84.97323747,110.4408803,0.6725,0.7583,1.0214,0.9398,19.3036,26.1776,32.7743,26.8903,15.5449,21.166,26.5098,21.8787,10.3967,20.5718,54.5878,18.9065,458.0,0.229657,346.743117,15.44173,77.571586,banana
106,70,55,5.74055541,Alluvial,25.86824781,78.52399914,116.3019555,0.6342,0.7068,0.9278,0.8596,20.6331,26.4141,33.3913,27.0451,16.7529,21.2404,26.9242,21.8715,10.7607,23.245,57.9759,23.0936,87.0,0.032434,78.084932,11.656368,79.125682,banana
90,86,52,5.793260262,Clay loam,25.85036988,81.95580471,119.08561709999998,0.6513,0.7209,0.9861,0.9091,19.8058,26.9679,33.3935,26.3135,15.9282,21.7978,26.9309,21.1434,12.9752,22.8717,60.1805,21.5928,711.0,0.549861,106.046828,13.734303,76.431063,banana
83,95,50,5.50947065,Alluvial,26.51682337,77.79913575,108.8547508,0.6219,0.7037,0.9497,0.87,21.6616,27.2717,34.755,27.8726,17.6841,21.9683,28.1258,22.5693,8.3927,20.9884,53.0289,22.312,8.0,0.017649,302.096911,11.315763,79.706506,banana
119,90,48,5.986442306,Loamy,28.66725136,79.59242542,118.2583441,0.6418,0.7081,0.9471,0.8834,21.7722,30.804,38.3595,30.4774,17.4721,25.0706,31.1926,24.744,9.4998,29.5907,59.1692,24.5363,207.0,0.517262,276.085101,14.69973,78.355244,banana
107,72,45,5.790768046,Clay loam,28.14938935,81.54448882,91.40508414,0.6511,0.7425,0.9865,0.8992,22.7937,29.3834,37.0917,29.7119,18.5713,23.7535,30.0544,24.082,8.4071,19.0114,41.6004,21.6186,452.0,0.111365,44.02291,14.177161,77.802018,banana
116,81,55,5.915546415,Clay loam,26.42313317,83.69950440000002,95.12322062,0.6852,0.7701,1.0068,0.9135,20.0439,27.9888,34.8805,27.73,16.0805,22.7042,28.2748,22.4454,9.6631,20.1462,46.5947,18.9355,85.0,0.096684,347.699675,13.267654,79.824761,banana
101,75,50,6.242528277999999,Clay loam,26.59386409,81.40740301,109.9825551,0.6555,0.7349,0.9759,0.8957,19.7747,27.7555,35.8691,27.4409,15.7856,22.4367,29.2206,22.1221,10.7548,19.1294,54.6996,24.7704,47.0,0.135556,314.791643,9.077088,77.995315,banana
93,81,50,6.0360792660000016,Alluvial,27.71822477,76.57853189,102.2099836,0.6212,0.6747,0.9294,0.8543,22.3461,28.9249,36.2622,29.9103,18.1883,23.3812,29.3327,24.3666,11.3138,20.0399,51.7238,19.529,796.0,0.450772,290.912545,12.242915,76.194286,banana
95,75,45,5.829898502000001,Loamy,28.98333432,82.95958244,109.022564,0.6775,0.7617,1.0117,0.9173,21.9268,29.7494,38.121,30.7582,17.5793,23.9527,30.8751,24.9615,13.621,22.5687,57.2007,23.0373,141.0,0.125441,146.025948,15.482466,79.355264,banana
107,71,55,6.088064451,Alluvial,29.42017919,83.96754496,117.229079,0.6712,0.752,1.0044,0.9225,22.9684,30.7247,38.6824,30.08,18.5553,24.8406,31.3273,24.196,9.9183,22.1752,59.619,23.7089,372.0,1.321807,94.778028,11.863456,78.033332,banana
83,94,47,6.469370954,Clay loam,27.39872329,81.10523402,112.1355384,0.6471,0.7364,0.9753,0.899,21.4212,28.9469,36.4802,28.8467,17.3114,23.4672,29.6305,23.367,8.0431,23.4142,57.0251,19.2726,413.0,0.034126,271.153542,15.369299,76.70881,banana
102,73,54,5.720726906,Alluvial,26.4020227,84.41007614,111.0162259,0.6911,0.7714,1.0142,0.9217,20.3448,27.652,34.4501,27.7375,16.3845,22.3716,27.8496,22.4571,6.1808,22.0167,54.8019,24.4206,728.0,1.611181,172.63942,12.628435,78.921979,banana
86,79,45,5.80766417,Clay loam,27.81251452,82.69285419,99.20961514,0.6602,0.7424,0.9846,0.9034,22.614,28.9412,35.9999,29.6726,18.4421,23.3787,29.0468,24.1101,7.148,20.853,50.6262,17.1755,144.0,0.078099,243.150267,9.027054,77.549622,banana
117,86,53,5.703381727999999,Alluvial,25.19640218,83.55829874,115.8586081,0.6763,0.7508,1.0036,0.9385,21.4842,26.8907,33.15,25.7325,17.7048,21.8515,26.8509,20.6933,11.0519,24.906,57.7021,21.2887,116.0,0.141377,284.955122,12.804368,79.530783,banana
111,79,53,6.165001277999999,Loamy,28.31193338,75.77363772,119.695765,0.6041,0.6888,0.9062,0.8159,21.6156,29.7017,37.5668,29.9315,17.3688,24.0393,30.4888,24.2691,10.0466,25.9298,59.9471,25.0803,1241.0,3.497629,50.135056,12.032881,77.538651,banana
95,74,50,6.002481605,Alluvial,25.90113128,80.47152737,110.10323,0.6642,0.7165,0.9751,0.8971,19.6685,27.1038,35.1323,27.9483,15.7833,21.9235,28.657,22.7681,10.2013,20.7607,51.9532,21.4582,134.0,0.0,218.699621,15.836006,79.663641,banana
91,75,55,6.212369363,Alluvial,27.48612983,76.11239849,109.2768851,0.6087,0.6865,0.9353,0.8198,21.7987,28.4623,35.359,28.9705,17.6758,22.9651,28.4875,23.4733,14.8728,20.9991,52.2753,21.0572,677.0,0.182347,227.514068,14.098997,77.094384,banana
93,83,46,5.765308943,Alluvial,29.38254012,83.50423735,109.2486647,0.6598,0.7631,1.0028,0.9187,23.3497,30.7171,38.2712,31.1613,18.9424,24.8406,30.9256,25.2848,12.0985,24.5733,54.9912,22.2302,57.0,0.114049,295.794746,15.708748,79.881967,banana
92,85,51,5.740764682000001,Alluvial,29.22118628,81.08183635,108.8616474,0.6498,0.7367,0.9762,0.8641,22.89,31.0053,38.2759,31.3166,18.5068,25.161,30.9706,25.4724,13.482,23.2185,52.2605,21.598,1010.0,0.047561,312.715604,11.622766,76.533487,banana
104,80,54,5.879119455,Loamy,27.09062164,81.33506906,110.1331182,0.637,0.7283,0.9557,0.8992,21.9043,28.1048,35.6555,28.9328,17.8407,22.6866,28.8828,23.5147,11.8129,23.9185,53.1137,25.5229,173.0,0.011225,347.328827,11.301964,78.800057,banana
103,72,51,6.099478745,Clay loam,26.12643374,81.81365007,104.4812858,0.6511,0.7267,0.9978,0.8977,21.4159,27.445,33.1626,26.925,17.4969,22.2197,26.631,21.6997,15.4546,19.629,55.4302,21.0875,718.0,0.207187,38.652741,13.987415,77.195653,banana
92,75,45,5.674403358999999,Clay loam,29.01207743,77.95192527,90.43495443,0.6061,0.6977,0.9324,0.863,22.3668,30.3021,38.7931,30.8261,18.015,24.4997,31.5401,25.0237,8.6228,18.5324,45.5584,16.8581,140.0,0.179635,44.381669,13.611954,79.44283,banana
93,85,49,5.694243847,Clay loam,27.96799119,79.28625709,119.4765557,0.6398,0.7279,0.9579,0.8738,22.073,29.9982,36.8048,29.6072,17.8778,24.4046,29.8128,24.0136,9.691,22.4498,58.647,20.9595,46.0,0.035804,7.454898,13.694995,79.742048,banana
120,87,52,5.905494703,Loamy,28.0764455,76.05522115,118.99235729999998,0.5974,0.6829,0.9019,0.8406,22.3398,29.1447,37.0985,29.1806,18.1283,23.5294,30.0794,23.5653,13.7776,26.543,57.4663,24.5151,762.0,0.140458,187.751279,13.060666,76.803556,banana
108,72,46,6.110844721,Loamy,25.16278237,84.97849241,90.94554618,0.6682,0.7864,1.008,0.9467,19.3941,26.33,33.9333,25.8609,15.6197,21.2974,27.6426,20.8283,9.6577,18.2623,42.3263,21.7013,859.0,0.219098,126.749291,12.993341,77.162318,banana
105,88,54,6.020445317,Alluvial,25.78749808,84.51194224,114.2005455,0.6715,0.7678,1.0001,0.935,19.9166,26.1711,33.8513,26.8252,16.0484,21.0136,27.4045,21.6677,9.0821,23.2861,60.3802,19.931,94.0,0.054554,2.568085,10.762349,78.689495,banana
98,79,50,6.435917308,Loamy,25.34119774,84.47321314,91.06493353,0.6787,0.7652,1.0148,0.9165,19.8609,26.6856,33.359,26.6444,16.0598,21.6173,27.0237,21.5762,9.7606,15.9519,45.9958,15.5774,295.0,0.095016,136.609707,15.850684,78.600346,banana
111,88,55,5.505393832999999,Clay loam,29.44795403,78.34971537,96.45042585,0.635,0.7082,0.9419,0.8655,22.0831,31.3421,38.1371,30.809,17.6659,25.4525,30.7751,24.9194,11.3004,15.0238,48.4962,19.3134,336.0,0.026075,318.466514,15.666612,78.015574,banana
97,74,45,5.677719902000001,Loamy,26.47522633,78.51833782,113.1161095,0.6218,0.6934,0.9522,0.8512,20.9096,27.5836,34.5745,27.7059,16.9383,22.2886,27.9557,22.4109,13.2756,21.0812,56.4735,24.1942,729.0,0.843046,272.925437,13.554496,77.289526,banana
95,82,48,5.719014989,Clay loam,27.39489579,83.31172003,92.78133617,0.6655,0.7335,0.9876,0.9181,21.2475,29.019,35.9236,28.7858,17.1383,23.54,29.0749,23.3068,12.2385,15.0172,47.6878,17.1428,130.0,0.159275,355.892224,8.923242,77.408951,banana
89,91,55,6.275572297999999,Loamy,25.08347445,80.26173100000003,94.32961456,0.6705,0.7233,0.9523,0.8777,20.6239,26.5142,32.506,26.5403,16.8614,21.4975,26.2352,21.5236,8.8758,18.3465,44.8936,13.7093,1000.0,1.321807,274.829219,11.842959,78.282553,banana
89,85,55,6.275384607,Loamy,26.671983500000003,76.48541655,91.73358569,0.6115,0.6736,0.9116,0.8527,21.2266,28.1921,34.6472,28.0011,17.2258,22.8577,27.9792,22.6668,11.8667,13.8874,47.7531,15.6971,971.0,0.305867,48.567084,13.337258,77.669912,banana
